Loss,Compute_Time_s,Entropy
-0.00276483,2, 3.00225
-0.00277449,2, 2.98495
-0.00277894,1, 2.96587
-0.00277252,1, 2.9462
-0.00276941,1, 2.92638
-0.0027682,1, 2.90664
-0.00275981,1, 2.88711
-0.00276146,2, 2.86792
-0.00276642,1, 2.84907
-0.00276674,2, 2.83053
-0.00276731,2, 2.81233
-0.00277201,1, 2.79446
-0.00277519,1, 2.77691
-0.00276871,1, 2.75967
-0.00276496,2, 2.74268
-0.0027668,2, 2.72597
-0.00276356,2, 2.70956
-0.00276998,2, 2.69341
-0.00276725,2, 2.67749
-0.00277608,2, 2.66179
-0.00277322,2, 2.64626
-0.00276515,1, 2.63093
-0.00277303,1, 2.61578
-0.00276794,2, 2.60081
-0.00277398,2, 2.586
-0.00277398,2, 2.57135
