Loss,Compute_Time_s,Entropy
-9.53674e-05,10, 2.82007
0.000395076,10, 2.64054
0.00220172,9, 2.48195
0.00605176,10, 2.33505
0.0118387,10, 2.19581
0.019561,10, 2.06275
0.0302132,9, 1.93534
0.0406932,9, 1.81448
0.0525349,9, 1.70049
0.0652284,9, 1.59184
0.0790614,9, 1.48987
0.093617,10, 1.39627
0.107757,9, 1.30862
0.124378,9, 1.22695
0.139749,9, 1.15126
0.157749,9, 1.08178
0.175454,9, 1.01736
0.194771,9, 0.958099
0.21299,9, 0.902968
0.231407,9, 0.85316
0.246977,9, 0.807153
0.249983,9, 0.76455
0.25,9, 0.733194
0.25,9, 0.717986
0.25,10, 0.708738
0.25,10, 0.703066
0.25,11, 0.700839
0.25,11, 0.698727
0.25,10, 0.696305
0.25,11, 0.695145
0.25,10, 0.68953
0.249996,9, 0.683524
0.25,9, 0.676352
0.25,9, 0.670839
0.25,9, 0.664852
0.25,9, 0.661397
0.249999,9, 0.657755
