Loss,Compute_Time_s,Entropy
-0.00157064,9, 2.82031
-0.00164134,9, 2.64168
-0.0016037,9, 2.48477
-0.00155131,9, 2.33916
-0.00151367,9, 2.20016
-0.00155741,9, 2.06616
-0.00144806,9, 1.93768
-0.00150503,9, 1.8161
-0.00157725,9, 1.70067
-0.00147552,9, 1.5928
-0.00144399,9, 1.49328
-0.00142466,9, 1.40109
-0.00133769,9, 1.31579
-0.00107778,9, 1.23502
-0.000957743,9, 1.15972
-0.000460815,9, 1.091
-7.93457e-05,9, 1.02752
0.000637309,9, 0.968559
0.00152588,9, 0.914804
0.00275981,9, 0.864829
0.00448812,9, 0.818525
0.00660858,9, 0.774889
0.0094869,9, 0.734827
0.0129562,9, 0.697987
0.0170614,9, 0.663236
0.0221751,9, 0.63027
0.0275024,9, 0.599397
0.0338486,9, 0.570877
0.040536,9, 0.544354
0.0468953,9, 0.519665
0.0538208,9, 0.496296
0.0619837,9, 0.474838
0.068778,9, 0.454902
0.0773941,9, 0.436799
0.0858516,9, 0.418947
0.0945155,9, 0.401463
0.101861,9, 0.38531
0.110551,9, 0.370259
0.118666,9, 0.355759
0.127472,9, 0.341954
0.137545,9, 0.329212
0.145587,9, 0.317209
0.153337,9, 0.305301
0.161334,9, 0.294495
0.170178,9, 0.284294
0.176183,9, 0.274818
0.183851,9, 0.265911
0.192122,9, 0.257488
0.200426,9, 0.249223
0.207838,9, 0.241715
0.215249,9, 0.234563
0.221369,9, 0.227991
0.229347,9, 0.221079
0.237196,9, 0.214681
0.245404,9, 0.209074
0.249611,9, 0.203162
0.255308,9, 0.197248
0.263664,9, 0.191713
0.270389,9, 0.186652
0.275884,9, 0.181847
0.28008,9, 0.177471
0.288045,9, 0.172878
0.294465,9, 0.16826
0.298101,9, 0.163794
0.303921,9, 0.160037
0.310063,9, 0.156161
0.315004,9, 0.152609
0.321108,9, 0.149152
0.328108,9, 0.14557
0.332358,9, 0.142448
0.337658,9, 0.139718
0.34363,9, 0.136611
0.350175,9, 0.133526
0.354018,9, 0.130554
0.359469,9, 0.127669
0.363045,9, 0.12498
0.36885,9, 0.122381
0.370571,9, 0.120219
0.372792,9, 0.118109
0.380007,9, 0.115714
0.384491,9, 0.113444
0.385828,9, 0.111129
0.391386,9, 0.108742
0.392346,9, 0.10659
0.395051,9, 0.10415
0.399241,9, 0.101777
0.405714,9, 0.100036
0.409021,9, 0.0982215
0.411096,9, 0.0964339
0.415809,9, 0.0949574
0.417068,9, 0.0931701
0.419756,9, 0.091722
0.423681,9, 0.090217
0.422649,9, 0.0886403
0.424741,9, 0.0871608
0.42958,9, 0.0856837
0.431812,9, 0.0844543
0.436174,9, 0.0831286
0.439088,9, 0.0820086
0.442895,9, 0.0806147
